name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at,search_category,search_area,pincode,google_map_link,sheet_category
"Reva Rehabilitation Centre","3rd floor, eashwar lakshmi hospital, plot no. 9, near sub-registration office, New Bakaram, Usyatam Residency, Gandhi Nagar, Kavadiguda, Hyderabad, Telangana 500080","revarehab.com","090325 81147","5","5","Rehabilitation center","","Rehab Hospital","Allapur","500080","https://www.google.com/maps/search/?api=1&query=Reva+Rehabilitation+Centre+3rd+floor%2C+eashwar+lakshmi+hospital%2C+plot+no.+9%2C+near+sub-registration+office%2C+New+Bakaram%2C+Usyatam+Residency%2C+Gandhi+Nagar%2C+Kavadiguda%2C+Hyderabad%2C+Telangana+500080","Rehab_Hospital"
"Anurag Rehabilitation Centre","Door No. 1-2, 365/36/4/3, Ramakrishna Math Marg, beside Saivani Nursing Home, Valmiki Nagar, Domalguda, Himayatnagar, Hyderabad, Telangana 500029","anuragrehabilitation.com","040 2763 4920","102","4.2","Rehabilitation center"," · Opens 1:30pm","Rehab Hospital","Vinayak Nagar","500029","https://www.google.com/maps/search/?api=1&query=Anurag+Rehabilitation+Centre+Door+No.+1-2%2C+365%2F36%2F4%2F3%2C+Ramakrishna+Math+Marg%2C+beside+Saivani+Nursing+Home%2C+Valmiki+Nagar%2C+Domalguda%2C+Himayatnagar%2C+Hyderabad%2C+Telangana+500029","Rehab_Hospital"
"Nest Rehabs","Krupa Complex, Plot No 65, Neredmet, Malkajgiri, Siddhartha Nagar, Safilguda, Neredmet, Hyderabad, Secunderabad, Telangana 500047","","098489 52495","67","4.5","Rehabilitation center","","Rehab Hospital","Vinayak Nagar","500047","https://www.google.com/maps/search/?api=1&query=Nest+Rehabs+Krupa+Complex%2C+Plot+No+65%2C+Neredmet%2C+Malkajgiri%2C+Siddhartha+Nagar%2C+Safilguda%2C+Neredmet%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500047","Rehab_Hospital"
"HEKA REHAB HOSPITAL","26/A, Diamond Point Rd, beside Raja Rajeshwari Gardens, Sikh Village, Bowenpally, Secunderabad, Telangana 500009","","040 4014 7474","43","4","Hospital","","Rehab Hospital","Vinayak Nagar","500009","https://www.google.com/maps/search/?api=1&query=HEKA+REHAB+HOSPITAL+26%2FA%2C+Diamond+Point+Rd%2C+beside+Raja+Rajeshwari+Gardens%2C+Sikh+Village%2C+Bowenpally%2C+Secunderabad%2C+Telangana+500009","Rehab_Hospital"
"Metro cure rehabilitation hospital","Pillar No.A, 16-2-661, Lane, beside Bajaj Electronics, Osmangunj, Malakpet, Hyderabad, Telangana 500012","rehabilitation-metrocure.com","092814 80108","55","4.8","Rehabilitation center","","Rehab Hospital","Vinayak Nagar","500012","https://www.google.com/maps/search/?api=1&query=Metro+cure+rehabilitation+hospital+Pillar+No.A%2C+16-2-661%2C+Lane%2C+beside+Bajaj+Electronics%2C+Osmangunj%2C+Malakpet%2C+Hyderabad%2C+Telangana+500012","Rehab_Hospital"
"Rehabilitation hospital","Gopalnagar, bus stop, New Bolarum, Panchsheel Enclave, Sri Ganesh Nagar, Bolarum, Hyderabad, Secunderabad, Telangana 500010","","","","","Rehabilitation center","","Rehab Hospital","Vinayak Nagar","500010","https://www.google.com/maps/search/?api=1&query=Rehabilitation+hospital+Gopalnagar%2C+bus+stop%2C+New+Bolarum%2C+Panchsheel+Enclave%2C+Sri+Ganesh+Nagar%2C+Bolarum%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500010","Rehab_Hospital"
"Hyderabad Rehabilitation Center","Plot No - 23, Abhyudaya Nagar, L. B. Nagar, Vanasthalipuram, Hyderabad, Telangana 500070","hrchyd.com","060261 08108","161","4.9","Physical rehabilitation center","","Rehab Hospital","Vinayak Nagar","500070","https://www.google.com/maps/search/?api=1&query=Hyderabad+Rehabilitation+Center+Plot+No+-+23%2C+Abhyudaya+Nagar%2C+L.+B.+Nagar%2C+Vanasthalipuram%2C+Hyderabad%2C+Telangana+500070","Rehab_Hospital"
"Adithya Rehabilitation Centre","Shop No 1,Beside Bandar Pochamma Temple, H 23-71/2, RK Nagar, Cross Road, Anandbagh, Malkajgiri, Hyderabad, Secunderabad, Telangana 500047","","","35","4.9","Physiotherapist"," · Opens 9am","Rehab Hospital","Anandbagh","500047","https://www.google.com/maps/search/?api=1&query=Adithya+Rehabilitation+Centre+Shop+No+1%2CBeside+Bandar+Pochamma+Temple%2C+H+23-71%2F2%2C+RK+Nagar%2C+Cross+Road%2C+Anandbagh%2C+Malkajgiri%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500047","Rehab_Hospital"
"Sri Sathya Physiotherapy Clinic","E Anandbagh Main Rd, beside Sai baba temple, Surya nagar, Aishwarya Plaza, Safilguda, Malkajgiri, Secunderabad, Telangana 500047","","096526 31045","334","5","Physiotherapist"," · Opens 10am","Rehab Hospital","Anandbagh","500047","https://www.google.com/maps/search/?api=1&query=Sri+Sathya+Physiotherapy+Clinic+E+Anandbagh+Main+Rd%2C+beside+Sai+baba+temple%2C+Surya+nagar%2C+Aishwarya+Plaza%2C+Safilguda%2C+Malkajgiri%2C+Secunderabad%2C+Telangana+500047","Rehab_Hospital"
"ABHIVRUDHI Child Development Centre","Urjitha Apartments, 24-60/2, opp. lane zoom colour lab, behind KFC, Vimala Devi Nagar Colony, Anandbagh, Malkajgiri, Hyderabad, Secunderabad, Telangana 500047","srlfoundation.com","099492 12903","127","5","Occupational therapist"," · Opens 10am","Rehab Hospital","Anandbagh","500047","https://www.google.com/maps/search/?api=1&query=ABHIVRUDHI+Child+Development+Centre+Urjitha+Apartments%2C+24-60%2F2%2C+opp.+lane+zoom+colour+lab%2C+behind+KFC%2C+Vimala+Devi+Nagar+Colony%2C+Anandbagh%2C+Malkajgiri%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500047","Rehab_Hospital"
"Caring Hands Physiotherapy & Pain Clinic","9-45, Malkajgiri Rd, Old Malkajgiri, Durga Nagar, Malkajgiri, Secunderabad, Telangana 500047","","098489 17434","5","5","Physiotherapy Center"," · Opens 10am","Rehab Hospital","Anandbagh","500047","https://www.google.com/maps/search/?api=1&query=Caring+Hands+Physiotherapy+%26+Pain+Clinic+9-45%2C+Malkajgiri+Rd%2C+Old+Malkajgiri%2C+Durga+Nagar%2C+Malkajgiri%2C+Secunderabad%2C+Telangana+500047","Rehab_Hospital"
"Next step physiotherapy and home services","3rd floor, Next step physical therapy and rehabilitation centre, om Sri Sai mansion, 4-163, beside LK Hospital Lane, Maruthi Nagar, Malkajgiri, Hyderabad, Secunderabad, Telangana 500047","","086882 19131","4","5","Physiotherapy Center"," · Opens 9am","Rehab Hospital","Anandbagh","500047","https://www.google.com/maps/search/?api=1&query=Next+step+physiotherapy+and+home+services+3rd+floor%2C+Next+step+physical+therapy+and+rehabilitation+centre%2C+om+Sri+Sai+mansion%2C+4-163%2C+beside+LK+Hospital+Lane%2C+Maruthi+Nagar%2C+Malkajgiri%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500047","Rehab_Hospital"
"Peoples Hospital","G7J8+M2W, 105, MG Rd, Near People Hospital, Ashok Nagar, JP Colony, Patancheruvu, Hyderabad, Telangana 502319","","084552 43292","35","2.8","Hospital","","Rehab Hospital","Patancheru","502319","https://www.google.com/maps/search/?api=1&query=Peoples+Hospital+G7J8%2BM2W%2C+105%2C+MG+Rd%2C+Near+People+Hospital%2C+Ashok+Nagar%2C+JP+Colony%2C+Patancheruvu%2C+Hyderabad%2C+Telangana+502319","Rehab_Hospital"
"Patancheru medical college","MEDICAL COLLEGE HOSPITAL, dist, JP Colony, Patancheruvu, Hyderabad, Telangana 502319","","","3","4.7","Hospital","","Rehab Hospital","Patancheru","502319","https://www.google.com/maps/search/?api=1&query=Patancheru+medical+college+MEDICAL+COLLEGE+HOSPITAL%2C+dist%2C+JP+Colony%2C+Patancheruvu%2C+Hyderabad%2C+Telangana+502319","Rehab_Hospital"
"PP Reddy Rehabilitation Centre","Police Station, Plot No.42, RCI Rd, opp. Balapur, Mallapur, Hyderabad, Telangana 500005","ppreddyrehabcare.com","091601 91794","126","4.5","Rehabilitation center","","Rehab Hospital","Ranga Reddy Nagar","500005","https://www.google.com/maps/search/?api=1&query=PP+Reddy+Rehabilitation+Centre+Police+Station%2C+Plot+No.42%2C+RCI+Rd%2C+opp.+Balapur%2C+Mallapur%2C+Hyderabad%2C+Telangana+500005","Rehab_Hospital"
"Renew Hospital","1-11-240/2/A, opp. Pearl Apts, near Shyamlal Buildings, Tatachary Colony, Begumpet, Hyderabad, Telangana 500016","renewhospital.com","099634 71105","","","Rehabilitation center","","Rehab Hospital","Ranga Reddy Nagar","500016","https://www.google.com/maps/search/?api=1&query=Renew+Hospital+1-11-240%2F2%2FA%2C+opp.+Pearl+Apts%2C+near+Shyamlal+Buildings%2C+Tatachary+Colony%2C+Begumpet%2C+Hyderabad%2C+Telangana+500016","Rehab_Hospital"
"Dr Sharma's REHAB","House No 1-124/94 , Sharma Rehab, Thoomkunta Village Shameerpet, Secunderabad, Telangana 500078, Hyderabad, Telangana 500078","","","18","4.1","Rehabilitation center","","Rehab Hospital","Ranga Reddy Nagar","500078","https://www.google.com/maps/search/?api=1&query=Dr+Sharma%27s+REHAB+House+No+1-124%2F94+%2C+Sharma+Rehab%2C+Thoomkunta+Village+Shameerpet%2C+Secunderabad%2C+Telangana+500078%2C+Hyderabad%2C+Telangana+500078","Rehab_Hospital"
"RNC Hospitals | Best Hospital in Balanagar Hyderabad","6-3-77/1, Balanagar X Roads, Pillar No. 21/22, Balanagar, Dist, Hyderabad, Telangana 500037","rnchospitals.com","062620 99995","275","4.8","Hospital","","Rehab Hospital","Balanagar","500037","https://www.google.com/maps/search/?api=1&query=RNC+Hospitals+%7C+Best+Hospital+in+Balanagar+Hyderabad+6-3-77%2F1%2C+Balanagar+X+Roads%2C+Pillar+No.+21%2F22%2C+Balanagar%2C+Dist%2C+Hyderabad%2C+Telangana+500037","Rehab_Hospital"
"Anantha Rehab Hospital","1-10-44/2, Old Patigadda, Chikoti Gardens, Begumpet, Hyderabad, Telangana 500016","anantharehab.com","098898 85052","252","4.7","Rehabilitation center","","Rehab Hospital","Balanagar","500016","https://www.google.com/maps/search/?api=1&query=Anantha+Rehab+Hospital+1-10-44%2F2%2C+Old+Patigadda%2C+Chikoti+Gardens%2C+Begumpet%2C+Hyderabad%2C+Telangana+500016","Rehab_Hospital"
"HCAH SuVitas Stroke Rehabilitation Center - Somajiguda, Hyderabad","6-3-1090/1/2/A, Somajiguda, Hyderabad, Telangana 500082","hcah.in","079 6581 3367","1266","4.5","Rehabilitation center","","Rehab Hospital","Balanagar","500082","https://www.google.com/maps/search/?api=1&query=HCAH+SuVitas+Stroke+Rehabilitation+Center+-+Somajiguda%2C+Hyderabad+6-3-1090%2F1%2F2%2FA%2C+Somajiguda%2C+Hyderabad%2C+Telangana+500082","Rehab_Hospital"
"Revive Multispeciality hospital- Best Multispeciality Hospital in IDPL, Chintal, Balanagar, Hyderabad","Sumithra Nagar, Gudement Nagar, IDPL Colony, Balanagar, Hyderabad, Telangana 500037","revivemultispecialityhospital.com","081254 28282","459","4.8","Hospital","","Rehab Hospital","Balanagar","500037","https://www.google.com/maps/search/?api=1&query=Revive+Multispeciality+hospital-+Best+Multispeciality+Hospital+in+IDPL%2C+Chintal%2C+Balanagar%2C+Hyderabad+Sumithra+Nagar%2C+Gudement+Nagar%2C+IDPL+Colony%2C+Balanagar%2C+Hyderabad%2C+Telangana+500037","Rehab_Hospital"
"Next Move Prosthetics Center","9, MIG 11-144, beside Sri Chaitanya college, Andhra Pradesh Housing Board Colony, Balanagar, Hyderabad, Telangana 500037","nextmoveprosthetic.com","080089 58426","","","Orthotics & Prosthetics Centre"," · Opens 9am","Rehab Hospital","Balanagar","500037","https://www.google.com/maps/search/?api=1&query=Next+Move+Prosthetics+Center+9%2C+MIG+11-144%2C+beside+Sri+Chaitanya+college%2C+Andhra+Pradesh+Housing+Board+Colony%2C+Balanagar%2C+Hyderabad%2C+Telangana+500037","Rehab_Hospital"
"Sivananda Rehabilitation Home - For Leprosy & TB Treatment at free of cost","Metro Pillar No.788 A, Besides Ramdev Rao Hospital, National Highway, 65, Main Rd, Kukatpally, Hyderabad, Telangana 500072","sivanandarehab.org","040 2988 7679","156","4.5","Non-profit organization"," · Opens 9am","Rehab Hospital","Balanagar","500072","https://www.google.com/maps/search/?api=1&query=Sivananda+Rehabilitation+Home+-+For+Leprosy+%26+TB+Treatment+at+free+of+cost+Metro+Pillar+No.788+A%2C+Besides+Ramdev+Rao+Hospital%2C+National+Highway%2C+65%2C+Main+Rd%2C+Kukatpally%2C+Hyderabad%2C+Telangana+500072","Rehab_Hospital"
"Anurag Rehabilitation Centre","Door No. 1-2, 365/36/4/3, Ramakrishna Math Marg, beside Saivani Nursing Home, Valmiki Nagar, Domalguda, Himayatnagar, Hyderabad, Telangana 500029","anuragrehabilitation.com","040 2763 4920","102","4.2","Rehabilitation center"," · Opens 1:30pm","Rehab Hospital","Balanagar","500029","https://www.google.com/maps/search/?api=1&query=Anurag+Rehabilitation+Centre+Door+No.+1-2%2C+365%2F36%2F4%2F3%2C+Ramakrishna+Math+Marg%2C+beside+Saivani+Nursing+Home%2C+Valmiki+Nagar%2C+Domalguda%2C+Himayatnagar%2C+Hyderabad%2C+Telangana+500029","Rehab_Hospital"
"Ashray Akruti Multi-Disciplinary Centre For Children With Special Needs Chintal","H No. 47-13/8, Aditya Residency, Sri Sai Colony, Chandra Nagar, Chinthal, Balanagar, Hyderabad, Telangana 500037","ashrayakruti.org","092810 96370","","","Hospital"," · Opens 9am","Rehab Hospital","Balanagar","500037","https://www.google.com/maps/search/?api=1&query=Ashray+Akruti+Multi-Disciplinary+Centre+For+Children+With+Special+Needs+Chintal+H+No.+47-13%2F8%2C+Aditya+Residency%2C+Sri+Sai+Colony%2C+Chandra+Nagar%2C+Chinthal%2C+Balanagar%2C+Hyderabad%2C+Telangana+500037","Rehab_Hospital"
"Swaraag Rehabilitation Centre","Raj Bhavan Rd, Sangeet Nagar, Somajiguda, Hyderabad, Telangana 500082","swaraagrehab.com","073307 24444","78","4.5","Hospital","","Rehab Hospital","Balanagar","500082","https://www.google.com/maps/search/?api=1&query=Swaraag+Rehabilitation+Centre+Raj+Bhavan+Rd%2C+Sangeet+Nagar%2C+Somajiguda%2C+Hyderabad%2C+Telangana+500082","Rehab_Hospital"
"Varahi Rehabilitation Center – Comprehensive Rehabilitation Services in Secunderabad, Hyderabad","Suman Housing West, Plot no:2, opposite Lions Club, Suman Housing Colony, West Marredpally, Secunderabad, Telangana 500026","varahicareservices.com","079817 67285","49","4.9","Rehabilitation center","","Rehab Hospital","Balanagar","500026","https://www.google.com/maps/search/?api=1&query=Varahi+Rehabilitation+Center+%E2%80%93+Comprehensive+Rehabilitation+Services+in+Secunderabad%2C+Hyderabad+Suman+Housing+West%2C+Plot+no%3A2%2C+opposite+Lions+Club%2C+Suman+Housing+Colony%2C+West+Marredpally%2C+Secunderabad%2C+Telangana+500026","Rehab_Hospital"
"Brinnova Rehabilitation Centre - Banjara Hills, Hyderabad","H. No 8-2-686/7/10. Sy.No. 129, 48, Road No. 12, Banjara Hills, Hyderabad, Telangana 500028","brinnovacare.com","091005 55511","456","4.4","Rehabilitation center","","Rehab Hospital","Balanagar","500028","https://www.google.com/maps/search/?api=1&query=Brinnova+Rehabilitation+Centre+-+Banjara+Hills%2C+Hyderabad+H.+No+8-2-686%2F7%2F10.+Sy.No.+129%2C+48%2C+Road+No.+12%2C+Banjara+Hills%2C+Hyderabad%2C+Telangana+500028","Rehab_Hospital"
"HCAH - Gachibowli, Hyderabad","Ground Floor, Plot 38, DLF Rd, behind Radisson Hotel, Jayabheri Enclave, Gachibowli, Hyderabad, Telangana 500032","hcah.in","079 6581 3986","261","4.4","Rehabilitation center","","Rehab Hospital","Balanagar","500032","https://www.google.com/maps/search/?api=1&query=HCAH+-+Gachibowli%2C+Hyderabad+Ground+Floor%2C+Plot+38%2C+DLF+Rd%2C+behind+Radisson+Hotel%2C+Jayabheri+Enclave%2C+Gachibowli%2C+Hyderabad%2C+Telangana+500032","Rehab_Hospital"
"Reva Rehabilitation Centre","3rd floor, eashwar lakshmi hospital, plot no. 9, near sub-registration office, New Bakaram, Usyatam Residency, Gandhi Nagar, Kavadiguda, Hyderabad, Telangana 500080","revarehab.com","090325 81147","5","5","Rehabilitation center","","Rehab Hospital","Balanagar","500080","https://www.google.com/maps/search/?api=1&query=Reva+Rehabilitation+Centre+3rd+floor%2C+eashwar+lakshmi+hospital%2C+plot+no.+9%2C+near+sub-registration+office%2C+New+Bakaram%2C+Usyatam+Residency%2C+Gandhi+Nagar%2C+Kavadiguda%2C+Hyderabad%2C+Telangana+500080","Rehab_Hospital"
"Physicure Hyd Neuro Rehabilitation center with ICU","9, Plot No. 11, H, No. 9-5/10, Block No, Srinivasa Gayatri Nagar, LB Nagar, Hyderabad, Telangana 500097","physicurehyderabad.com","081850 69496","71","4.8","Rehabilitation center","","Rehab Hospital","Fathenagar","500097","https://www.google.com/maps/search/?api=1&query=Physicure+Hyd+Neuro+Rehabilitation+center+with+ICU+9%2C+Plot+No.+11%2C+H%2C+No.+9-5%2F10%2C+Block+No%2C+Srinivasa+Gayatri+Nagar%2C+LB+Nagar%2C+Hyderabad%2C+Telangana+500097","Rehab_Hospital"
"Gaama Physiotherapy & Rehabilitation Clinic","1-132/53, 6, Ganesh Temple Ln, opp. ICICI Bank, Skandagiri, Walker Town, Padmarao Nagar, Secunderabad, Telangana 500020","gaamaphysiocareservices.in","077992 06222","163","4.7","Rehabilitation center"," · Opens 9am","Rehab Hospital","Seethaphalmandi","500020","https://www.google.com/maps/search/?api=1&query=Gaama+Physiotherapy+%26+Rehabilitation+Clinic+1-132%2F53%2C+6%2C+Ganesh+Temple+Ln%2C+opp.+ICICI+Bank%2C+Skandagiri%2C+Walker+Town%2C+Padmarao+Nagar%2C+Secunderabad%2C+Telangana+500020","Rehab_Hospital"
"Mehwin Physiotherapy Services","12-10-416/6(666),swathi avenue, Ramalayam St, opp. lane to sridevi nursing home, Warasiguda, Secunderabad, Telangana 500061","","098850 89994","27","5","Physiotherapy Center"," · Opens 9am","Rehab Hospital","Seethaphalmandi","500061","https://www.google.com/maps/search/?api=1&query=Mehwin+Physiotherapy+Services+12-10-416%2F6%28666%29%2Cswathi+avenue%2C+Ramalayam+St%2C+opp.+lane+to+sridevi+nursing+home%2C+Warasiguda%2C+Secunderabad%2C+Telangana+500061","Rehab_Hospital"
"General Physiotheraphy, Ortho Rehab, Neuro Rehab, Cardiopulmonary Rehab, Geriatric Rehab","CGF8+6RX, Ramalaya Rd, opposite Lane To Sridevi Nursingh Home, Warasiguda, Padmarao Nagar, Secunderabad, Telangana 500061","","","","","Hospital department","","Rehab Hospital","Seethaphalmandi","500061","https://www.google.com/maps/search/?api=1&query=General+Physiotheraphy%2C+Ortho+Rehab%2C+Neuro+Rehab%2C+Cardiopulmonary+Rehab%2C+Geriatric+Rehab+CGF8%2B6RX%2C+Ramalaya+Rd%2C+opposite+Lane+To+Sridevi+Nursingh+Home%2C+Warasiguda%2C+Padmarao+Nagar%2C+Secunderabad%2C+Telangana+500061","Rehab_Hospital"
"Ayushman Aarogya Mandir -UPHC","269, 269, Warasiguda Rd, Mahmoodguda, Srinivasa Nagar, Padmarao Nagar, Secunderabad, Telangana 500061","","094910 83232","70","4.3","Hospital"," · Opens 9am","Rehab Hospital","Seethaphalmandi","500061","https://www.google.com/maps/search/?api=1&query=Ayushman+Aarogya+Mandir+-UPHC+269%2C+269%2C+Warasiguda+Rd%2C+Mahmoodguda%2C+Srinivasa+Nagar%2C+Padmarao+Nagar%2C+Secunderabad%2C+Telangana+500061","Rehab_Hospital"
"Sri Datta Physiotherapy and Rehabilitation Centre","near Skandagiri Temple, Skandagiri, Warasiguda, Padmarao Nagar, Secunderabad, Telangana 500061","","079817 37162","6","4.3","Physiotherapy Center"," · Opens 10:30am","Rehab Hospital","Seethaphalmandi","500061","https://www.google.com/maps/search/?api=1&query=Sri+Datta+Physiotherapy+and+Rehabilitation+Centre+near+Skandagiri+Temple%2C+Skandagiri%2C+Warasiguda%2C+Padmarao+Nagar%2C+Secunderabad%2C+Telangana+500061","Rehab_Hospital"
"Manasa Dr samhita hospital","CGH5+M7C, 6-1-276/A/6, Railway Colony, Padmarao Nagar, Hyderabad, Secunderabad, Telangana 500061","","090002 17597","119","4.3","Hospital","","Rehab Hospital","Seethaphalmandi","500061","https://www.google.com/maps/search/?api=1&query=Manasa+Dr+samhita+hospital+CGH5%2BM7C%2C+6-1-276%2FA%2F6%2C+Railway+Colony%2C+Padmarao+Nagar%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500061","Rehab_Hospital"
"Hitha Rehabilitation & Physiotherapy Centre","DAS Towers, 3-11-495, opp. Reliance Petrol Pump, near Kamineni Flyover, Rajivgandhi Nagar, Sivaganga Colony, L. B. Nagar, Hyderabad, Telangana 500068","hithahealth.com","091001 93123","212","4.6","Rehabilitation center","","Rehab Hospital","Seethaphalmandi","500068","https://www.google.com/maps/search/?api=1&query=Hitha+Rehabilitation+%26+Physiotherapy+Centre+DAS+Towers%2C+3-11-495%2C+opp.+Reliance+Petrol+Pump%2C+near+Kamineni+Flyover%2C+Rajivgandhi+Nagar%2C+Sivaganga+Colony%2C+L.+B.+Nagar%2C+Hyderabad%2C+Telangana+500068","Rehab_Hospital"
"ACTIVE PHYSIO","Jamai Osmania railway station, road, near nalla pochamma temple, Boudha Nagar, Warasiguda, Gandhi chowk, Secunderabad, Telangana 500061","","084648 49018","46","5","Physiotherapy Center"," · Opens 9am","Rehab Hospital","Seethaphalmandi","500061","https://www.google.com/maps/search/?api=1&query=ACTIVE+PHYSIO+Jamai+Osmania+railway+station%2C+road%2C+near+nalla+pochamma+temple%2C+Boudha+Nagar%2C+Warasiguda%2C+Gandhi+chowk%2C+Secunderabad%2C+Telangana+500061","Rehab_Hospital"
"Anurag Rehabilitation Hospital","CGF7+QGG, Namalagundu, Padmarao Nagar, Hyderabad, Secunderabad, Telangana 500061","","","1","5","Hospital","","Rehab Hospital","Seethaphalmandi","500061","https://www.google.com/maps/search/?api=1&query=Anurag+Rehabilitation+Hospital+CGF7%2BQGG%2C+Namalagundu%2C+Padmarao+Nagar%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500061","Rehab_Hospital"
"Cure Rehab | Begumpet | Hyderabad","H.NO: 6-3-1216/120 Methodist colony, Lane, beside Varun Villa, Apts, Begumpet, Hyderabad, Telangana 500016","curerehab.in","093940 73336","251","4.7","Rehabilitation center","","Rehab Hospital","Begumpet","500016","https://www.google.com/maps/search/?api=1&query=Cure+Rehab+%7C+Begumpet+%7C+Hyderabad+H.NO%3A+6-3-1216%2F120+Methodist+colony%2C+Lane%2C+beside+Varun+Villa%2C+Apts%2C+Begumpet%2C+Hyderabad%2C+Telangana+500016","Rehab_Hospital"
"Recover Physiotherapy And Rehabilitation Centre","6-3-1146/1, beside Subhani Masjid, near Buddha View Apartment, Hussain Nagar Colony, B.S Maqta, Kundanbagh Colony, Begumpet, Hyderabad, Telangana 500016","recovrphysiotherapy.com","098667 29717","113","4.9","Physiotherapy Center"," · Opens 9am","Rehab Hospital","Begumpet","500016","https://www.google.com/maps/search/?api=1&query=Recover+Physiotherapy+And+Rehabilitation+Centre+6-3-1146%2F1%2C+beside+Subhani+Masjid%2C+near+Buddha+View+Apartment%2C+Hussain+Nagar+Colony%2C+B.S+Maqta%2C+Kundanbagh+Colony%2C+Begumpet%2C+Hyderabad%2C+Telangana+500016","Rehab_Hospital"
"Nimblegait healthtech","G-09, Srinivasa Towers, Besides ITC Kakatiya hotel, Teachers Colony, Greenlands, Begumpet, Hyderabad, Telangana 500016","","","308","4.8","Hospital"," · Opens 10am","Rehab Hospital","Begumpet","500016","https://www.google.com/maps/search/?api=1&query=Nimblegait+healthtech+G-09%2C+Srinivasa+Towers%2C+Besides+ITC+Kakatiya+hotel%2C+Teachers+Colony%2C+Greenlands%2C+Begumpet%2C+Hyderabad%2C+Telangana+500016","Rehab_Hospital"
"Renew Rehabilitation","Flat 401, 4th Floor, 1-10-98/A, Sapthagiri Residency Ratnadeep, Chikoti Garden Rd, Begumpet, Hyderabad, Telangana 500016","","099634 71105","109","3.6","Hospital"," · Opens 9am","Rehab Hospital","Begumpet","500016","https://www.google.com/maps/search/?api=1&query=Renew+Rehabilitation+Flat+401%2C+4th+Floor%2C+1-10-98%2FA%2C+Sapthagiri+Residency+Ratnadeep%2C+Chikoti+Garden+Rd%2C+Begumpet%2C+Hyderabad%2C+Telangana+500016","Rehab_Hospital"
"Prime Wellness Centre","1st floor, Opp: Bank of Baroda, 8/2RT, Prakash Nagar, Begumpet, Secunderabad, Hyderabad, Telangana 500016","visitemywebsite.com","095026 45253","51","5","Physiotherapy Center"," · Opens 9am","Rehab Hospital","Begumpet","500016","https://www.google.com/maps/search/?api=1&query=Prime+Wellness+Centre+1st+floor%2C+Opp%3A+Bank+of+Baroda%2C+8%2F2RT%2C+Prakash+Nagar%2C+Begumpet%2C+Secunderabad%2C+Hyderabad%2C+Telangana+500016","Rehab_Hospital"
"Superb Physiotherapy & Rehabilitation (Home Treatment Services Available)","6-3-1147/A/B/2, opposite Lane of CM CAMP Office, Bhola Shankar Basthi, B.S Maqta, Kundanbagh Colony, Begumpet, Hyderabad, Telangana 500016","superbyousufdr.sulekha.com","","3","5","Physiotherapy Center","","Rehab Hospital","Begumpet","500016","https://www.google.com/maps/search/?api=1&query=Superb+Physiotherapy+%26+Rehabilitation+%28Home+Treatment+Services+Available%29+6-3-1147%2FA%2FB%2F2%2C+opposite+Lane+of+CM+CAMP+Office%2C+Bhola+Shankar+Basthi%2C+B.S+Maqta%2C+Kundanbagh+Colony%2C+Begumpet%2C+Hyderabad%2C+Telangana+500016","Rehab_Hospital"
"Britelife Foundation","H.no 2, 65, behind Bangaru Maisamma Temple, Yadav Colony, Boduppal, Hyderabad, Telangana 500092","britelifefoundation.com","095737 35522","18","4.6","Addiction treatment center","","Rehab Hospital","Boudha Nagar","500092","https://www.google.com/maps/search/?api=1&query=Britelife+Foundation+H.no+2%2C+65%2C+behind+Bangaru+Maisamma+Temple%2C+Yadav+Colony%2C+Boduppal%2C+Hyderabad%2C+Telangana+500092","Rehab_Hospital"
"VitaNova","7th Floor, Plot No 3, Road No. 2, Financial District, Gachibowli, Nanakramguda, Hyderabad, Telangana 500032","vitanovarehab.in","079975 75252","296","5","Rehabilitation center","","Rehab Hospital","Boudha Nagar","500032","https://www.google.com/maps/search/?api=1&query=VitaNova+7th+Floor%2C+Plot+No+3%2C+Road+No.+2%2C+Financial+District%2C+Gachibowli%2C+Nanakramguda%2C+Hyderabad%2C+Telangana+500032","Rehab_Hospital"
"Deeksha neuro rehabilitation centre ( DNC Rehab & Physio )","Miyapur Police Station, Miyapur Traffic, Road & near, MLA Camp Office Road, opposite Apollo Pharmacy, Krushi Nagar, Shanti Nagar Colony, Muzaffar Ahmad Nagar, Madeenaguda, Hyderabad, Telangana 500050","dncrehabandphysio.in","0120 524 4469","60","4.9","Rehabilitation center","","Rehab Hospital","Miyapur","500050","https://www.google.com/maps/search/?api=1&query=Deeksha+neuro+rehabilitation+centre+%28+DNC+Rehab+%26+Physio+%29+Miyapur+Police+Station%2C+Miyapur+Traffic%2C+Road+%26+near%2C+MLA+Camp+Office+Road%2C+opposite+Apollo+Pharmacy%2C+Krushi+Nagar%2C+Shanti+Nagar+Colony%2C+Muzaffar+Ahmad+Nagar%2C+Madeenaguda%2C+Hyderabad%2C+Telangana+500050","Rehab_Hospital"
